n_code,NAME,total_pop,white,hisp,black,other
28,Mississippi,2986220,1702268,88261,1118458,77233
29,Missouri,6075300,4849068,244420,698140,283672
30,Montana,1029862,891990,36626,4080,97166
31,Nebraska,1893921,1512046,198300,87260,96315
32,Nevada,2887725,1457272,814305,242682,373466
33,New Hampshire,1331848,1211110,45266,16167,59305
34,New Jersey,8960161,5023606,1764520,1136347,1035688
35,New Mexico,2084828,795728,1004103,37287,247710
1,Alabama,4850771,3198079,198375,1280946,173371
2,Alaska,738565,454498,50162,22534,211371
4,Arizona,6809946,3786418,2103523,276146,643859
5,Arkansas,2977944,2174326,213246,457251,133121
6,California,38982847,14777594,15105860,2161459,6937934
36,New York,19798228,11071563,3726238,2842869,2157558
37,North Carolina,10052564,6397460,914792,2127294,613018
38,North Dakota,745475,638773,24744,17014,64944
39,Ohio,11609756,9243187,414490,1408708,543371
40,Oklahoma,3896251,2589210,394879,278887,633275
41,Oregon,4025127,3079995,509507,72636,362989
42,Pennsylvania,12790505,9881135,874833,1358263,676274
44,Rhode Island,1056138,773388,153910,57860,70980
45,South Carolina,4893444,3119676,267398,1321219,185151
46,South Dakota,855444,707282,29901,14292,103969
47,Tennessee,6597381,4898888,340063,1099118,259312
48,Texas,27419612,11755493,10673909,3199022,1791188
50,Vermont,624636,582404,11183,7534,23515
49,Utah,2993941,2365205,409311,31714,187711
51,Virginia,8365952,5238967,749458,1576081,801446
53,Washington,7169967,5001482,882108,251603,1034774
54,West Virginia,1836843,1694887,27021,64414,50521
55,Wisconsin,5763217,4715129,380590,359094,308404
56,Wyoming,583200,491626,56681,5791,29102
72,Puerto Rico,3468963,26416,3432611,2720,7216
10,Delaware,943732,594911,84793,201411,62617
11,District of Columbia,672391,241901,71829,315159,43502
9,Connecticut,3594478,2446049,551916,350820,245693
12,Florida,20278447,11124951,5015015,3129406,1009075
13,Georgia,10201635,5469446,950380,3150514,631295
16,Idaho,1657375,1368118,201978,10658,76621
15,Hawaii,1421658,316047,145381,23977,936253
17,Illinois,12854526,7955484,2162070,1806398,930574
18,Indiana,6614418,5280583,441968,604249,287618
19,Iowa,3118102,2697252,178294,104194,138362
20,Kansas,2903820,2220256,334860,163490,185214
21,Kentucky,4424376,3764473,152072,348472,159359
22,Louisiana,4663461,2752253,231708,1490050,189450
23,Maine,1330158,1244859,20427,16065,48807
24,Maryland,5996079,3109275,573303,1754143,559358
25,Massachusetts,6789319,4952367,760177,453683,623092
26,Michigan,9925568,7493362,484568,1359208,588430
27,Minnesota,5490726,4434473,284649,321543,450061
8,Colorado,5436519,3731976,1157200,209885,337458
