name,n_code,alpha_code,total_pop,white,black,hisp,other
Alabama,1,AL,4779736,1628489,1268317,195469,1687458
Alaska,2,AK,710231,273169,22792,48237,366031
Arizona,4,AZ,6392017,2837972,274859,1974428,1304755
Arkansas,5,AR,2915918,786879,450388,208804,1469845
California,6,CA,37253956,23131748,2162848,14435913,-2476554
Colorado,8,CO,5029196,1576832,204585,1070498,2177279
Connecticut,9,CT,3574097,1141917,374106,548786,1509286
Delaware,10,DE,897934,331893,196279,80678,289083
District of Columbia,11,DC,601723,385245,287318,64279,-135121
Florida,12,FL,18801310,8486730,3032604,4649707,2632267
Georgia,13,GA,9687653,4493770,3034282,902497,1257102
Hawaii,15,HI,1360301,1057894,24766,139106,138533
Idaho,16,ID,1567582,273585,10622,191035,1092338
Illinois,17,IL,12830632,4889935,1830092,2158051,3952552
Indiana,18,IN,6483802,1307495,600953,433240,4142112
Iowa,19,IA,3046355,411166,104305,174191,2356691
Kansas,20,KS,2853118,671628,165528,329013,1686947
Kentucky,21,KY,4339367,647223,346303,149150,3196689
Louisiana,22,LA,4533372,1857894,1458786,225244,991446
Maine,23,ME,1328361,85183,16883,20399,1205894
Maryland,24,MD,5773552,2779668,1716112,552026,725743
Massachusetts,25,MA,6547629,1771559,481982,733115,3560971
Michigan,26,MI,9883640,2421931,1368708,482521,5610478
Minnesota,27,MN,5303925,1020318,315829,274964,3692812
Mississippi,28,MS,2967297,1275815,1115462,87701,488316
Missouri,29,MO,5988927,1208798,693065,240945,3846117
Montana,30,MT,989415,132457,4263,35187,817506
Nebraska,31,NE,1826341,368248,86516,191224,1180351
Nevada,32,NV,2700551,1337735,236613,761524,364678
New Hampshire,33,NH,1316470,119343,18416,44743,1133965
New Jersey,34,NJ,8791894,3862628,1184682,1731383,2013199
New Mexico,35,NM,2059179,1273240,41667,991749,-247479
New York,36,NY,19378102,8541481,3034887,3647165,4154567
North Carolina,37,NC,9535483,3467093,2048351,867737,3152301
North Dakota,38,ND,672591,96269,15667,22324,538329
Ohio,39,OH,11536504,2351637,1419218,411874,7353773
Oklahoma,40,OK,3751351,1258432,273265,380193,1839458
Oregon,41,OR,3831074,899566,72666,484943,2373897
Pennsylvania,42,PA,12702379,2889324,1407843,868805,7536405
Rhode Island,44,RI,1052567,281793,68114,153389,549268
South Carolina,45,SC,4625364,1676594,1259132,252749,1436887
South Dakota,46,SD,814180,141015,13989,28458,630717
Tennessee,47,TN,6346105,1633802,1065214,327110,3319977
Texas,48,TX,25145561,14365011,3014346,9788666,-2022463
Utah,49,UT,2763885,580423,31035,377859,1774566
Vermont,50,VT,625741,42306,7935,11202,564296
Virginia,51,VA,8001024,2990583,1535416,716766,2758257
Washington,53,WA,6724540,2033769,245482,827307,3617979
West Virginia,54,WV,1852994,143204,65874,27258,1616657
Wisconsin,55,WI,5686986,1034224,361044,375555,3916160
Wyoming,56,WY,563626,88500,5915,54778,414431
